name,size,price,url
Rondel Zero Non-Alcoholic Cava,750ml,10.99,https://www.totalwine.com/wine/champagne-sparkling-wine/cava/rondel-zero-non-alcoholic-cava/p/224667750?s=304&igrules=true
Martin Ray Chardonnay Sonoma Coast,750ml,20.99,https://www.totalwine.com/wine/white-wine/chardonnay/martin-ray-chardonnay-sonoma-coast/p/94588750?s=304&igrules=true
Grey Rock Sauvignon Blanc Marlborough,750ml,14.99,https://www.totalwine.com/wine/deals/white-wine/sauvignon-blanc/grey-rock-sauvignon-blanc-marlborough/p/129863750?s=304&igrules=true
Oree des Roses,750ml,9.99,https://www.totalwine.com/wine/rose-blush-wine/rose-blend/oree-des-roses/p/176632750?s=304&igrules=true
Cabernario No.8 Cabernet Sauvignon,750ml,17.99,https://www.totalwine.com/wine/new-arrivals/deals/red-wine/cabernet-sauvignon/cabernario-no-8-cabernet-sauvignon/p/213689750?s=304&igrules=true
Blue Canyon Chardonnay Monterey,750ml,13.99,https://www.totalwine.com/wine/white-wine/chardonnay/blue-canyon-chardonnay-monterey/p/185636750?s=304&igrules=true
Domaine Chenevieres Chablis Premier Cru Fourchame,750ml,49.99,https://www.totalwine.com/wine/white-wine/chardonnay/domaine-chenevieres-chablis-premier-cru-fourchame/p/130333750?s=304&igrules=true
La Delizia Pinot Grigio,1.5L,13.99,https://www.totalwine.com/wine/deals/white-wine/pinot-grigio-pinot-gris/la-delizia-pinot-grigio/p/36585015?s=304&igrules=true
Antica Corte Garganega Pinot Grigio,750ml,13.49,https://www.totalwine.com/wine/white-wine/pinot-grigio-pinot-gris/antica-corte-garganega-pinot-grigio/p/14353750?s=304&igrules=true
Gnarled Vine Zinfandel Estate Grown Lodi,750ml,11.99,https://www.totalwine.com/wine/red-wine/zinfandel/gnarled-vine-zinfandel-estate-grown-lodi/p/228741750?s=304&igrules=true
Firebrand Chardonnay Reserve,750ml,13.99,https://www.totalwine.com/wine/deals/white-wine/chardonnay/firebrand-chardonnay-reserve/p/219809750?s=304&igrules=true
Singerstone Sauvignon Blanc,750ml,13.99,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/singerstone-sauvignon-blanc/p/235692750?s=304&igrules=true
69 Miles Chardonnay Yolo County,750ml,19.99,https://www.totalwine.com/wine/deals/white-wine/chardonnay/69-miles-chardonnay-yolo-county/p/178700750?s=304&igrules=true
